Enclosure,Vole ID,Northing,Easting
LD,C01EB34,4378313.016,695608.202
LD,C01EB34,4378307.57,695609.183
LD,C01EB34,4378311.136,695608.038
LD,C01EB34,4378305.804,695607.916
LD,C01EB34,4378314.398,695609.372
LD,C01EB34,4378306.309,695609.106
LD,C01EB34,4378314.467,695609.318
LD,C01EB34,4378317.34,695607.756
LD,C01EB34,4378317.545,695607.192
LD,C01EB34,4378312.967,695609.128
LD,C01EB34,4378315.111,695607.857
LD,C01EB34,4378316.096,695609.563
LD,C01EB34,4378315.953,695604.442
LD,C01EB34,4378315.155,695607.658
LD,C01EB34,4378320.476,695609.446
LD,C01EB34,4378319.637,695602.339
LD,C01EB34,4378315.956,695599.212
LD,C01EB34,4378318.027,695598.459
LD,C01EB34,4378316.734,695601.38
LD,C01EB34,4378318.824,695608.659
LD,C01EB34,4378316.265,695606.602
LD,C01EB34,4378317.002,695600.15
LD,C01EB34,4378317.687,695608.103
LD,C01EB34,4378315.86,695598.782
LD,C01EB34,4378315.186,695597.524
LD,C01EB34,4378316.703,695602.293
LD,C01EB34,4378317.288,695600.68
LD,C01EB34,4378306.172,695605.735
LD,C01EB34,4378306.975,695606.009
LD,C01EB34,4378307.317,695603.574
LD,C01EB34,4378309.094,695606.476
LD,C01EB34,4378315.19,695579.915
LD,C01EB34,4378316.677,695580.874
LD,C01EB34,4378312.003,695603.098
LD,C01EB34,4378307.98,695609.338
LD,C01EB34,4378308.638,695603.085
LD,C01EB34,4378307.52,695609.285
